journal_name,normalized_name,issn_print,issn_online,publisher,scimago_category,scope_bucket,tier_flag,inclusion_reason,manual_review_flag,notes
Annals of Tourism Research,annals of tourism research,0160-7383,1873-7722,Elsevier,"Tourism, Leisure and Hospitality Management",tourism,core,"Canonical field-defining tourism journal; SSCI Q1; consistently top-cited in tourism scholarship.",false,"Flagship social-science tourism journal."
Tourism Management,tourism management,0261-5177,1879-3193,Elsevier,"Tourism, Leisure and Hospitality Management",mixed,core,"Leading tourism and hospitality management journal; SSCI Q1; broad scope covering planning, policy, marketing, behaviour.",false,"Online ISSN verified via Elsevier; occasionally listed as Tourism Management (Kidlington)."
Journal of Travel Research,journal of travel research,0047-2875,1552-6763,SAGE,"Tourism, Leisure and Hospitality Management",tourism,core,"Premier behavioural and management tourism journal; SSCI Q1.",false,""
International Journal of Hospitality Management,international journal of hospitality management,0278-4319,1873-4693,Elsevier,"Tourism, Leisure and Hospitality Management",hospitality,core,"Flagship hospitality operations and management journal; SSCI Q1.",false,""
International Journal of Contemporary Hospitality Management,international journal of contemporary hospitality management,0959-6119,1757-1049,Emerald,"Tourism, Leisure and Hospitality Management",hospitality,core,"Leading strategic hospitality management journal; SSCI Q1.",false,""
Journal of Hospitality and Tourism Research,journal of hospitality and tourism research,1096-3480,1557-7554,SAGE,"Tourism, Leisure and Hospitality Management",mixed,core,"ICHRIE flagship journal; SSCI; strong in behavioural hospitality research.",false,"Official journal of ICHRIE."
Cornell Hospitality Quarterly,cornell hospitality quarterly,1938-9655,1938-9663,SAGE,"Tourism, Leisure and Hospitality Management",hospitality,core,"Cornell School of Hotel Administration flagship; SSCI.",false,"Formerly Cornell Hotel and Restaurant Administration Quarterly (pre-2008)."
Journal of Sustainable Tourism,journal of sustainable tourism,0966-9582,1747-7646,Taylor & Francis,"Tourism, Leisure and Hospitality Management",tourism,core,"Definitive outlet for sustainability research in tourism; SSCI Q1.",false,""
Tourism Geographies,tourism geographies,1461-6688,1470-1340,Taylor & Francis (Routledge),"Tourism, Leisure and Hospitality Management",tourism,core,"Flagship geographic-perspective tourism journal; SSCI.",false,""
Current Issues in Tourism,current issues in tourism,1368-3500,1747-7603,Taylor & Francis (Routledge),"Tourism, Leisure and Hospitality Management",tourism,core,"High-volume, high-impact tourism research journal; SSCI Q1.",false,""
International Journal of Tourism Research,international journal of tourism research,1099-2340,1522-1970,Wiley,"Tourism, Leisure and Hospitality Management",tourism,core,"Broad-scope tourism research journal; SSCI.",false,""
Journal of Hospitality Marketing and Management,journal of hospitality marketing and management,1936-8623,1936-8631,Taylor & Francis,"Tourism, Leisure and Hospitality Management",hospitality,core,"Leading hospitality marketing outlet; SSCI Q1.",false,""
Journal of Destination Marketing and Management,journal of destination marketing and management,2212-571X,,Elsevier,"Tourism, Leisure and Hospitality Management",destination,core,"Specialist destination marketing journal; directly aligned with place branding research.",false,"Elsevier lists a single ISSN (2212-571X)."
Journal of Hospitality and Tourism Management,journal of hospitality and tourism management,1447-6770,1839-5260,Elsevier (CAUTHE),"Tourism, Leisure and Hospitality Management",mixed,core,"CAUTHE official journal; SSCI; strong Asia-Pacific representation.",false,""
Asia Pacific Journal of Tourism Research,asia pacific journal of tourism research,1094-1665,1741-6507,Taylor & Francis (Routledge),"Tourism, Leisure and Hospitality Management",tourism,core,"Leading Asia-Pacific regional tourism journal; SSCI; relevant to GBA research.",false,""
Tourism Management Perspectives,tourism management perspectives,2211-9736,,Elsevier,"Tourism, Leisure and Hospitality Management",mixed,extended,"Companion journal to Tourism Management; interdisciplinary scope; SSCI.",false,""
Tourist Studies,tourist studies,1468-7976,1741-3206,SAGE,"Tourism, Leisure and Hospitality Management",tourism,extended,"Critical/cultural tourism studies; SSCI; complements managerial journals with sociological depth.",false,""
Journal of Vacation Marketing,journal of vacation marketing,1356-7667,1479-1870,SAGE,"Tourism, Leisure and Hospitality Management",tourism,extended,"Tourism marketing focus; SSCI (Hospitality, Leisure, Sport & Tourism; Business).",false,""
Journal of Heritage Tourism,journal of heritage tourism,1743-873X,1747-6631,Taylor & Francis (Routledge),"Tourism, Leisure and Hospitality Management",tourism,extended,"Specialist heritage tourism outlet; relevant to destination positioning and cultural-tourism research.",false,""
Tourism Recreation Research,tourism recreation research,0250-8281,2320-0308,Taylor & Francis (Routledge),"Tourism, Leisure and Hospitality Management",tourism,extended,"Long-established tourism research journal; ESCI/SSCI borderline over time.",false,""
Journal of Hospitality and Tourism Technology,journal of hospitality and tourism technology,1757-9880,1757-9899,Emerald,"Tourism, Leisure and Hospitality Management",hospitality,extended,"Specialist technology-in-hospitality outlet; SSCI; fits digital transformation research interest.",false,""
International Journal of Culture Tourism and Hospitality Research,international journal of culture tourism and hospitality research,1750-6182,1750-6190,Emerald,"Tourism, Leisure and Hospitality Management",mixed,extended,"Interdisciplinary culture/tourism/hospitality journal.",false,""
Tourism Analysis,tourism analysis,1083-5423,1943-3999,Cognizant Communication,"Tourism, Leisure and Hospitality Management",mixed,extended,"Interdisciplinary tourism/hospitality journal; ESCI.",false,""
Event Management,event management,1525-9951,1943-4308,Cognizant Communication,"Tourism, Leisure and Hospitality Management",events,extended,"Leading events research journal.",false,""
International Journal of Event and Festival Management,international journal of event and festival management,1758-2954,1758-2962,Emerald,"Tourism, Leisure and Hospitality Management",events,extended,"Specialist events and festivals outlet.",false,""
Journal of China Tourism Research,journal of china tourism research,1938-8160,1938-8179,Taylor & Francis (Routledge),"Tourism, Leisure and Hospitality Management",tourism,extended,"China-focused tourism outlet; relevant to GBA / mainland research priorities.",false,""
Journal of Travel and Tourism Marketing,journal of travel and tourism marketing,1054-8408,1540-7306,Taylor & Francis (Routledge),"Tourism, Leisure and Hospitality Management",tourism,core,"Leading tourism marketing journal; SSCI Q1.",true,"ISSNs widely reported but not independently verified in this session; confirm before ingestion."
International Journal of Hospitality and Tourism Administration,international journal of hospitality and tourism administration,1525-6480,1525-6499,Taylor & Francis (Routledge),"Tourism, Leisure and Hospitality Management",hospitality,extended,"Administrative and management focus in hospitality/tourism.",true,"ISSNs commonly reported; verify before ingestion."
Scandinavian Journal of Hospitality and Tourism,scandinavian journal of hospitality and tourism,1502-2250,1502-2269,Taylor & Francis (Routledge),"Tourism, Leisure and Hospitality Management",mixed,extended,"Regional scholarly tourism/hospitality journal; Nordic perspective.",true,"ISSNs commonly reported; verify before ingestion."
Leisure Sciences,leisure sciences,0149-0400,1521-0588,Taylor & Francis (Routledge),"Tourism, Leisure and Hospitality Management",leisure,extended,"Core leisure studies journal; SSCI; adjacent but in-category on SCImago.",true,"Adjacent leisure-studies focus; confirm field relevance for this product."
Journal of Leisure Research,journal of leisure research,0022-2216,2159-6417,Taylor & Francis (Routledge),"Tourism, Leisure and Hospitality Management",leisure,extended,"Core leisure research journal; SSCI; in-category on SCImago.",true,"Leisure-studies emphasis; confirm field relevance."
Journal of Quality Assurance in Hospitality and Tourism,journal of quality assurance in hospitality and tourism,1528-008X,1528-0098,Taylor & Francis (Routledge),"Tourism, Leisure and Hospitality Management",mixed,extended,"Quality/service management in hospitality and tourism.",true,"Verify ISSNs before ingestion."
Journal of Travel Medicine,journal of travel medicine,1195-1982,1708-8305,Oxford University Press,"Tourism, Leisure and Hospitality Management (also Public Health)",tourism,extended,"In SCImago's Tourism/Leisure/Hospitality category but is primarily a medical journal.",true,"Borderline: medical focus; consider excluding from v1 unless mobility/health-tourism research is in-scope."
Worldwide Hospitality and Tourism Themes,worldwide hospitality and tourism themes,1755-4217,1755-4225,Emerald,"Tourism, Leisure and Hospitality Management",mixed,extended,"Themed/practitioner-leaning hospitality and tourism journal.",true,"Borderline: more practitioner and themed-issue style; confirm academic rigor for inclusion."
International Journal of Tourism Cities,international journal of tourism cities,2056-5607,,Emerald,"Tourism, Leisure and Hospitality Management",destination,extended,"Urban / city tourism specialist outlet.",true,"Verify online ISSN before ingestion."
Journal of Tourism Futures,journal of tourism futures,2055-5911,,Emerald,"Tourism, Leisure and Hospitality Management",tourism,extended,"Open-access journal on tourism futures and foresight.",true,"Verify before ingestion; relatively newer OA journal."
